,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,128,interest,152.24,170.15,0.89,19,89.63
,160,so,151.34,151.34,1.00,14,79.72
,140,good,151.22,162.85,0.93,14,85.78
,161,too,151.21,151.21,1.00,11,79.65
,129,early,151.18,170.08,0.89,9,89.59
,165,also,147.53,147.53,1.00,10,77.71
,149,keep,147.48,158.02,0.93,15,83.24
,166,right,146.75,146.75,1.00,7,77.30
,64,again,146.57,209.38,0.70,10,110.29
,132,course,145.85,168.28,0.87,15,88.64
,168,a,145.73,145.73,1.00,11,76.76
,169,long,145.33,145.33,1.00,9,76.55
,139,that,145.11,163.25,0.89,9,85.99
,170,write,145.02,145.02,1.00,9,76.39
,171,program,144.30,144.30,1.00,10,76.01
,172,but,144.29,144.29,1.00,14,76.01
,137,here,143.92,164.48,0.88,8,86.64
,173,by,143.55,143.55,1.00,14,75.62
,148,small,142.62,158.47,0.90,10,83.48
,175,number,142.56,142.56,1.00,12,75.09
,146,or,142.44,160.24,0.89,9,84.41
,176,develop,142.17,142.17,1.00,12,74.89
,136,there,142.15,165.84,0.86,7,87.36
,152,under,141.45,157.17,0.90,10,82.79
,142,between,139.19,162.39,0.86,14,85.54
,177,off,137.96,137.96,1.00,10,72.67
,178,take,137.53,137.53,1.00,11,72.45
,164,little,136.87,148.27,0.92,13,78.10
,155,part,135.13,154.44,0.88,16,81.35
,181,many,135.04,135.04,1.00,11,71.13
,150,present,131.43,157.71,0.83,12,83.08
,156,seem,131.20,153.07,0.86,14,80.63
,151,these,131.04,157.25,0.83,12,82.83
,159,order,129.89,151.54,0.86,7,79.83
,183,get,129.35,129.35,1.00,8,68.14
,185,great,128.91,128.91,1.00,8,67.90
,186,will,128.40,128.40,1.00,11,67.64
,103,change,127.90,184.74,0.69,13,97.31
,187,increase,126.89,126.89,1,13,66.84
,182,fact,125.71,134.69,0.93,15,70.95
,157,form,122.30,152.88,0.80,10,80.53
,184,word,121.55,129.14,0.94,17,68.03
,167,never,121.46,145.75,0.83,6,76.78
,191,from,119.45,119.45,1.00,12,62.92
,192,possible,118.95,118.95,1.00,13,62.66
,193,plan,117.91,117.91,1.00,10,62.11
,174,might,117.15,143.18,0.82,11,75.42
,180,when,115.96,135.29,0.86,7,71.27
,189,follow,115.32,125.81,0.92,12,66.27
,97,both,113.61,189.34,0.60,10,99.74
,115,general,113.54,178.42,0.64,11,93.98
,163,help,111.40,148.53,0.75,12,78.24
,188,first,110.91,126.75,0.88,8,66.77
,190,of,110.33,122.59,0.90,10,64.58
,197,feel,104.54,112.01,0.93,15,59.00
,196,school,104.07,115.63,0.90,10,60.91
,198,look,101.33,101.33,1.00,12,53.38
,199,see,101.33,101.33,1.00,12,53.38
,195,need,98.52,116.44,0.85,13,61.34
,162,public,95.43,149.96,0.64,11,78.99
,194,home,91.41,117.53,0.78,9,61.91
,39,during,75.77,227.32,0.33,3,119.74
,179,problem,62.36,137.18,0.45,11,72.26
