,122,just,191.04,191.04,1.00,4,92.13
,123,face,190.60,190.60,1.00,6,91.91
,124,must,190.50,190.50,1.00,5,91.86
,125,hold,189.83,189.83,1.00,3,91.54
,126,make,189.82,189.82,1.00,4,91.54
,127,even,189.11,189.11,1.00,2,91.19
,128,well,189.00,189.00,1.00,1,91.14
,129,and,188.93,188.93,1.00,3,91.11
,130,at,188.38,188.38,1.00,3,90.84
,131,man,187.80,187.80,1.00,3,90.56
,132,all,187.32,187.32,1.00,3,90.33
,133,other,187.18,187.18,1.00,4,90.26
,134,to,139.99,186.66,0.75,4,90.01
,135,not,186.25,186.25,1.00,3,89.82
,136,these,186.10,186.10,1.00,6,89.74
,137,out,185.85,185.85,1.00,5,89.62
,138,leave,184.85,184.85,1.00,3,89.14
,139,as,184.74,184.74,1.00,2,89.09
,140,seem,183.56,183.56,1.00,2,88.52
,141,right,182.76,182.76,1.00,5,88.13
,142,do,180.22,180.22,1.00,3,86.91
,143,of,180.11,180.11,1.00,3,86.85
,144,increase,134.99,179.98,0.75,4,86.79
,145,problem,179.87,179.87,1.00,3,86.74
,146,open,178.94,178.94,1.00,3,86.29
,147,hand,118.54,177.80,0.67,6,85.74
,148,world,177.26,177.26,1.00,3,85.48
,149,little,175.86,175.86,1.00,7,84.80
,150,keep,175.70,175.70,1.00,3,84.73
,151,down,174.09,174.09,1.00,2,83.95
,152,eye,174.00,174.00,1.00,1,83.91
,153,many,173.95,173.95,1.00,7,83.88
,154,or,173.29,173.29,1.00,5,83.57
,155,like,173.00,173.00,1.00,3,83.43
,156,end,171.07,171.07,1.00,7,82.50
,157,between,169.70,169.70,1.00,3,81.83
,158,never,169.59,169.59,1.00,6,81.78
,159,fact,169.40,169.40,1.00,3,81.69
,160,need,168.62,168.62,1.00,5,81.31
,161,take,168.50,168.50,1.00,4,81.26
,162,order,168.49,168.49,1.00,2,81.25
,163,but,168.06,168.06,1.00,4,81.04
,164,go,167.54,167.54,1.00,4,80.79
,165,good,166.98,166.98,1.00,4,80.52
,166,get,165.28,165.28,1.00,2,79.70
,167,possible,164.61,164.61,1.00,2,79.38
,168,might,162.98,162.98,1.00,2,78.59
,169,small,135.59,162.71,0.83,6,78.46
,170,still,162.00,162.00,1.00,1,78.12
,171,also,128.67,160.83,0.80,5,77.56
,172,stand,159.76,159.76,1.00,4,77.04
,173,word,159.38,159.38,1.00,3,76.86
,174,school,159.12,159.12,1.00,3,76.73
,175,will,159.00,159.00,1.00,1,76.67
,176,much,157.42,157.42,1.00,6,75.91
,177,long,154.14,154.14,1.00,2,74.33
,178,any,154.00,154.00,1.00,1,74.26
,179,follow,152.22,152.22,1.00,2,73.41
,180,after,150.37,150.37,1.00,2,72.51
,181,present,150.37,150.37,1.00,2,72.51
,182,look,150.00,150.00,1.00,3,72.33
,183,off,148.59,148.59,1.00,5,71.65
,184,it,148.57,148.57,1.00,2,71.64
,185,part,143.94,143.94,1.00,4,69.41
,186,old,135.38,135.38,1.00,4,65.28
,187,over,130.74,130.74,1.00,2,63.05
,188,year,63.72,127.44,0.50,2,61.46
,189,where,119.95,119.95,1.00,4,57.84
,190,see,75.30,112.96,0.67,3,54.47
,191,for,78.41,104.55,0.75,4,50.42
,192,by,75.98,75.98,1.00,5,36.64
,193,a,45.13,45.13,1.00,6,21.76
,,what,,,,,
,,about,,,,,
,,call,,,,,
,,number,,,,,
,,turn,,,,,
,,form,,,,,
